caseID,cgIn,iyKgm2,clDeltaE,actuatorTau_s,isStable,fastModeWn,fastModeZeta,phaseMargin_deg,gainMargin_dB,gainCrossover_radps,innerNonPhugoidFrequency,bandwidthSeparationRatio,overshoot_pct,riseTime_s,settlingTime_s,peakPitchRate_degps,peakActuator_deg,peakActuatorRate_degps,peakUnsaturatedDemand_deg,peakSpeedPerturbationFraction,peakAlphaPerturbation_deg,finalAttitudeError_deg,maximumAttitudeDifferenceFromIdeal_deg
24,41,2300,0.427,0.05,1,6.60162594392995,0.636865109303519,52.8155336203288,23.1111264821131,1.03432391136761,6.56804875152409,6.35008886417377,1.26417692203324,2.84,30.16,0.334617405335482,0.584057016164927,0.189766046233914,0.584193181016161,0.0658449572847272,0.596887953097097,0.00628127545563731,0.0085384356631052
25,41,2300,0.5,0.02,1,6.31595091912566,0.656195165895882,54.2879739880297,29.7659842901035,1.02858925450896,6.04592052125063,5.87787641640965,1.23758110778044,2.89,30.46,0.329449802712812,0.590675258876351,0.203891572600566,0.590730121515907,0.0656564652120376,0.603652115567576,0.00633508955405873,0.0048667744297842
26,41,2300,0.5,0.035,1,6.45231058899028,0.649782537116202,53.5579754839649,25.5832699942109,1.02801303628506,6.25561847340801,6.08515481089036,1.3042880148361,2.87,30.45,0.331413119787732,0.590678045806714,0.195882645965573,0.590774055017109,0.0656567825619452,0.60365498145018,0.00633137008267295,0.00662759559647787
27,41,2300,0.5,0.05,1,6.59898664411504,0.637717368963671,52.8263175991123,23.1608697352384,1.02732617846057,6.56067417690306,6.38616470061544,1.37564764897865,2.85,30.43,0.333410578704991,0.590680832908304,0.189832811895395,0.590817988339209,0.0656570999314267,0.603657847508539,0.00632765038689905,0.00852194314432269
28,41,2800,0.3,0.02,1,5.66705286986736,0.619956479759519,53.3414783297747,29.2962387017263,1.04946508198759,5.46172057809606,5.20428994907775,1.00327813077471,2.84,29.71,0.335345540090483,0.572873592452541,0.207005448358844,0.572927378437817,0.066161083422383,0.585457983130014,0.00620892627521768,0.00499818782566825
29,41,2800,0.3,0.035,1,5.75181448770247,0.61300342428869,52.6048185640917,25.0722804015052,1.04891001226537,5.60023334118785,5.33909799287055,1.06835426922092,2.82,29.7,0.337400629742896,0.572876190378502,0.199724559568088,0.572970315515495,0.0661613908519326,0.585460655106374,0.00620531235598293,0.00678845258505211
30,41,2800,0.3,0.05,1,5.83728896113057,0.602434216166525,51.8664490311748,22.6055589251828,1.0482377962665,5.77932665527138,5.51337365992293,1.13821110636911,2.8,29.68,0.33948341673617,0.572878788456838,0.194159076741425,0.573013252456396,0.0661616982995881,0.585463327239846,0.00620169821300291,0.00878517709927741
31,41,2800,0.427,0.02,1,5.66221636847272,0.62115564102279,53.3541585472342,29.395803202533,1.03729016598624,5.44991075160396,5.25398864301607,1.1951626381864,2.86,30.19,0.333313842972921,0.584051428851096,0.207063933942438,0.584105895345756,0.065844323365591,0.596882299234568,0.00628864985039478,0.00496694224546184
32,41,2800,0.427,0.035,1,5.74730230848922,0.614341436625607,52.6224971236898,25.1708615458119,1.03674239223591,5.58819510099636,5.39014816298241,1.26302660110387,2.83,30.17,0.335340336207769,0.584054144589281,0.199819992921434,0.584149460573577,0.0658446370312765,0.596885092048451,0.0062849695958094,0.00676030617586831
33,41,2800,0.427,0.05,1,5.83345015959726,0.603922076526412,51.8891392609234,22.7038245066936,1.03608091486333,5.76754990673897,5.56669833793801,1.33571046057552,2.81,30.15,0.337398556075448,0.584056860492452,0.194277211150107,0.584193025639463,0.0658449507159552,0.596887885031905,0.00628128911494663,0.00875201627931819
34,41,2800,0.5,0.02,1,5.65945103396817,0.62184534259633,53.3630024820566,29.4530721530937,1.03023946340956,5.44311191601828,5.28334635717057,1.30595826542835,2.85,30.46,0.332119676980153,0.590675104308434,0.207097555451375,0.590729967066068,0.0656564591657562,0.603652049936159,0.00633510316508684,0.00494858976186853
35,41,2800,0.5,0.035,1,5.74472427508334,0.615110760811087,52.6342754734275,25.2276252297672,1.02969608720052,5.58126455525026,5.42030277149474,1.37545418537629,2.84,30.44,0.3341323251399,0.590677891339498,0.19987485783857,0.590773900756441,0.0656567765201808,0.603654915871728,0.0063313836938915,0.00674355624517107
36,41,2800,0.5,0.05,1,5.83125998526658,0.604777391013905,51.903859644757,22.7604477455186,1.02904097916838,5.76076863487327,5.59819166728312,1.44979486410862,2.82,30.43,0.336174407021781,0.590680678543195,0.194345129371004,0.590817834268965,0.0656570938941661,0.603657781984413,0.00632766399596953,0.00873244229138103
37,44.15,1800,0.3,0.02,1,6.65843804674154,0.764560020001339,56.391357224666,29.9138939834067,1.17837916651495,6.39996317263181,5.43115777543797,0,2.83,22.43,0.347798165755947,0.432831562619086,0.199476412504207,0.432871549997938,0.0665705311597939,0.581257545135153,0.0046180590144133,0.00516274967429961
38,44.15,1800,0.3,0.035,1,6.89361638982869,0.762670082221415,55.5995352770621,25.7447697221479,1.1775614475343,6.76588421709932,5.74567402088987,0,2.81,22.42,0.349971283895369,0.432833057888564,0.190283983993726,0.432903035577839,0.0665707672955723,0.581259570484749,0.00461534126520205,0.00684872786828885
39,44.15,1800,0.3,0.05,1,7.20585366414493,0.752388237744206,54.8060975951534,23.3286418236075,1.17658513111886,7.72011145907654,6.56145590734705,0,2.79,22.41,0.35218216466407,0.432834553222883,0.183640714252834,0.432934521030828,0.0665710034420095,0.58126159592307,0.00461262338725963,0.00871290328572963
40,44.15,1800,0.427,0.02,1,6.65257369683411,0.765412379127711,56.4144811059207,29.9694053521928,1.16830989359401,6.38725658358022,5.46709106770589,0,2.84,22.82,0.346348092440565,0.439178432109051,0.199534253700854,0.439218787429032,0.0663377930234789,0.589781817787038,0.00466124364934222,0.0051416040805448
41,44.15,1800,0.427,0.035,1,6.88773467802148,0.763683322329277,55.6259886633003,25.8024442466627,1.16749728746694,6.75220149324141,5.78348366692253,0,2.81,22.81,0.348500336861288,0.439179978330652,0.190383785177792,0.439250599896272,0.0663380328094977,0.589783911899982,0.00465848897142062,0.00683271413276359
42,44.15,1800,0.427,0.05,1,7.20094581534333,0.753639018028073,54.8358884952073,23.3883571681476,1.16652927533496,7.71136407893142,6.61051912024852,0,2.79,22.8,0.350691976218911,0.439181524620556,0.183744951426184,0.439282412222374,0.0663382726065414,0.589786006106373,0.00465573416100904,0.00869821385933415
43,44.15,1800,0.5,0.02,1,6.64921362624805,0.7659026851073,56.4286867800013,30.0014009505259,1.16248504599356,6.37994359892008,5.48819412422397,0,2.84,23.04,0.345500177235247,0.442911105134833,0.199567505188755,0.442951673752395,0.0662008172111763,0.594795062421634,0.00468629174650717,0.00512923005297387
