caseID,caseCG_in,caseIy_kgm2,caseCLdeltaE,caseTau_s,isStable,verticalSpeedPhaseMargin_deg,altitudePhaseMargin_deg,verticalSpeedCrossover_radps,altitudeCrossover_radps,bandwidthSeparationRatio,smallOvershoot_pct,smallRiseTime_s,smallSettlingTime_s,smallFinalError_ft,smallPeakPitchCommand_deg,smallPeakVerticalSpeed_fpm,smallPeakElevator_deg,smallPeakActuatorRate_degps,smallPeakSpeedFraction,smallPeakAlpha_deg,operationalOvershoot_pct,operationalRiseTime_s,operationalSettlingTime_s,operationalFinalError_ft,operationalPeakPitchCommand_deg,operationalPeakPitch_deg,operationalPeakVerticalSpeed_fpm,operationalPeakElevator_deg,operationalPeakActuatorRate_degps,operationalPeakSpeedFraction,operationalPeakAlpha_deg,verticalSpeedLimitActive,pitchCommandLimitActive,elevatorPositionLimitActive,elevatorRateLimitActive
11,41,1828.6803192735,0.3,0.035,1,106.2612888297,71.1424504533995,0.553860468830298,0.3217515351525,3.24857595341798,0,14.66,54.82,0.0368649392717953,0.583833739045677,85.6306610542148,0.0973349816991697,0.0562797462513966,0.00738556216461811,0.0802051934655841,0,39.1,69.26,0.458763421387059,1.74334141433454,1.10524515495372,199.30091991211,0.570895535879531,0.267240174783342,0.0644331410987092,0.574899489165768,1,0,0,0
12,41,1828.6803192735,0.3,0.05,1,104.935320948816,71.1521126461744,0.562385518086769,0.321759877211062,3.24619927678376,0,14.66,54.72,0.0368651744629955,0.584923238570724,85.9361245734571,0.0979652992908858,0.0571654893614005,0.00739329855898904,0.0807182581803433,0,39.1,69.18,0.458767669426017,1.74364635249826,1.10637957680989,200.087513529708,0.571832872140279,0.26731387964344,0.0644364314061801,0.575656172833504,1,0,0,0
13,41,1828.6803192735,0.427,0.02,1,104.876464867332,71.02054072796,0.556625082170595,0.322167360673417,3.20896842825199,0,14.78,56.64,0.0404486306930507,0.5870633773484,85.8147443756975,0.0991764386235927,0.0567219187599889,0.00741414998687796,0.0822335211601002,0,39.42,75.4,0.500728178908015,1.74346253149112,1.11397239061489,198.860119768428,0.588036104219674,0.267751852404115,0.0647906357544933,0.592433498350884,1,0,0,0
14,41,1828.6803192735,0.427,0.035,1,103.626907390206,71.0332116088506,0.564508030460066,0.322138936626752,3.20735188384612,0,14.82,56.44,0.0404488792462701,0.588149453560427,86.1172394420441,0.0998103637147255,0.0576002243705043,0.00742032352763474,0.0827524846953966,0,39.44,75.4,0.500733678445906,1.7437925343415,1.11401258240813,199.625541582009,0.588959045043772,0.268270722988336,0.0647938935339826,0.593187690965625,1,0,0,0
15,41,1828.6803192735,0.427,0.05,1,102.293820317699,71.0432510574692,0.572842496551815,0.322146478352389,3.20503128763977,0,14.84,56.24,0.0404491584326846,0.589258505331452,86.4278288475229,0.100457615282157,0.0585013061180274,0.00742862850609318,0.0832825037728628,0,39.44,75.38,0.5007399900141,1.74407025837431,1.11404542462526,200.413435128487,0.589919375898779,0.268350774901486,0.0647971891070944,0.593967695940419,1,0,0,0
16,41,1828.6803192735,0.5,0.02,1,103.438290343558,70.9559158256272,0.562074570899681,0.322382819572072,3.18520368715267,0,14.88,61.18,0.0427392842326794,0.589611845243156,86.0966260151492,0.100647492030016,0.0574929930585692,0.00743872884020684,0.0837471799464298,0,39.64,76.52,0.527419182798674,1.74373906012615,1.11926756532976,199.041310564639,0.598914421953521,0.268396885803369,0.0650098036088731,0.603457749744086,1,0,0,0
17,41,1828.6803192735,0.5,0.035,1,102.187875455739,70.9661308380213,0.56984173320259,0.322390599278376,3.18324857744564,0,14.9,61.32,0.0427395014287976,0.590704369868781,86.4023859199108,0.101289794910626,0.0583822406708753,0.00744181791633553,0.0842756609674216,0,39.64,76.46,0.527424006079812,1.74405238774075,1.11930795740287,199.808373905522,0.599851173152896,0.268864729663706,0.0650130672297085,0.604224206433767,1,0,0,0
18,41,1828.6803192735,0.5,0.05,1,100.859051591015,70.9763497051162,0.578022856376046,0.322398367866217,3.18095394132713,0,14.92,61.4,0.0427397540605335,0.591819967872381,86.7162372002026,0.101943055609712,0.0592946183316953,0.00745046403918665,0.0848118048657289,0,39.64,76.4,0.527430085215759,1.74431437221723,1.1193413553387,200.597749662236,0.600824625179778,0.268948311696265,0.0650163685236228,0.605016759675444,1,0,0,0
19,41,2300,0.3,0.02,1,105.905067618839,71.1537990164645,0.55634457631959,0.321757907645054,3.25618715888325,0,14.64,54.76,0.0368647222039443,0.584041066714142,85.6986925677209,0.0972932605269879,0.0564166131398106,0.00738700375435904,0.0803941138507136,0,39.1,69.24,0.458759401431119,1.74355520835385,1.10524604827058,199.49090666187,0.571052810166884,0.275878702007215,0.064433710596546,0.575064145780371,1,0,0,0
20,41,2300,0.3,0.035,1,104.581207471318,71.1635175212493,0.564865268368321,0.321765509142719,3.25427374833625,0,14.64,54.66,0.0368649512715141,0.585138842947642,86.0045305728268,0.097931921269228,0.0573113633312594,0.00739473659810304,0.0809160998424578,0,39.12,69.16,0.458763410786731,1.74387609535465,1.10730047368491,200.280366687325,0.571987309980828,0.276830761957073,0.0644370262445536,0.575826173422202,1,0,0,0
