delayPlantCaseID,delayAileronTau_s,sensorDelay_s,delayDiskMargin,delayPhaseMargin_deg,delayGainMargin_dB,delayCriticalFrequency_radps
8,0.075,0.04,1.30748108157866,66.3485449826294,13.5813145335358,2.08929613085404
8,0.075,0.06,1.25272735773889,64.1230686705493,12.7753715889647,2.10862814993329
8,0.075,0.08,1.19929100349834,61.897638902002,12.0315807327695,2.10862814993329
9,0.035,0,1.527043750398,74.7250514163738,17.4517975647195,0.483058802039773
9,0.035,0.01,1.51641708548177,74.3394301895896,17.2325886627585,2.14783047413053
9,0.035,0.02,1.48463690052453,73.1743609395076,16.6008842373692,2.14783047413053
9,0.035,0.04,1.42240636133245,70.8411173153425,15.4541834596565,2.16770410481969
9,0.035,0.06,1.36183681707592,68.503338706904,14.432897677853,2.18776162394955
9,0.035,0.08,1.3028875981547,66.1639657278177,13.5118197052196,2.2080047330189
9,0.05,0,1.50127327514153,73.7864711323529,16.9272673568797,2.14783047413053
9,0.05,0.01,1.46976282464123,72.6229495161734,16.3165923287576,2.14783047413053
9,0.05,0.02,1.4386974530168,71.4586086139215,15.7439390814293,2.16770410481969
9,0.05,0.04,1.37780235747459,69.1260043604649,14.6941174642384,2.16770410481969
9,0.05,0.06,1.31848170901022,66.7890051814058,13.7492382407592,2.18776162394955
9,0.05,0.08,1.2607487237629,64.4525601999818,12.8905050001979,2.2080047330189
9,0.075,0,1.42592366547126,70.9748389284451,15.516160759152,2.16770410481969
9,0.075,0.01,1.39551944139512,69.8115656466515,14.9904776766181,2.16770410481969
9,0.075,0.02,1.36557426282984,68.6495169361337,14.4935676982337,2.16770410481969
9,0.075,0.04,1.30682824836297,66.3223359375564,13.5714156602514,2.18776162394955
9,0.075,0.06,1.24967416615913,63.9973406034017,12.7317983677015,2.2080047330189
9,0.075,0.08,1.19402762795366,61.67556999806,11.9603702709658,2.2080047330189
10,0.035,0,1.60305175846312,77.4261547874559,19.158732370071,0.515228644581756
10,0.035,0.01,1.59907866338993,77.2874210429221,19.0626433874031,0.519995996533516
10,0.035,0.02,1.57493777145281,76.4386634040327,18.4963194329029,16.1435855682649
10,0.035,0.04,1.47676779811841,72.8831260526469,16.449624442569,14.0604752412991
10,0.035,0.06,1.39485090838225,69.7858000018192,14.9791664084121,12.3594743344451
10,0.035,0.08,1.32514391484461,67.0546768496509,13.8519855678923,10.9647819614319
10,0.05,0,1.59700079619259,77.2147582956429,19.0127269165778,0.524807460249773
10,0.05,0.01,1.59286431548586,77.0698867786851,18.9140329483121,0.529663443891658
10,0.05,0.02,1.55682317184715,75.7952068978027,18.0897045960184,13.8038426460289
10,0.05,0.04,1.46383863858158,72.4022354265155,16.2052427829124,12.2461619926505
10,0.05,0.06,1.384708344112,69.3939074864398,14.8088045297188,10.8642562361707
10,0.05,0.08,1.31622260777502,66.698733122826,13.7145787622206,9.81747943019984
10,0.075,0,1.58627422643802,76.8384787830249,18.7586183681921,0.544502652842421
10,0.075,0.01,1.57646451197781,76.4926371992592,18.5312822867691,2.14783047413053
10,0.075,0.02,1.53798640634272,75.1200791274222,17.6820281219568,10.9647819614319
10,0.075,0.04,1.45120991883743,71.9296499225829,15.9713024520672,9.90831944892768
10,0.075,0.06,1.3751104930631,69.021344753753,14.6496952610473,8.95364765549594
10,0.075,0.08,1.30739499784734,66.3450894605248,13.5800088286437,8.16582371358592
11,0.035,0,1.61051922616683,77.6861792063217,19.3416727553525,0.501187233627272
11,0.035,0.01,1.60675554988579,77.5552428721869,19.2490821324931,0.505824662003114
11,0.035,0.02,1.56476815116149,76.0781205689962,18.2662124188765,15.8489319246111
11,0.035,0.04,1.46423286803558,72.4169423844652,16.2126202146279,13.8038426460289
11,0.035,0.06,1.37994281420032,69.20913136968,14.7295521513755,12.1338885046498
11,0.035,0.08,1.30786549785105,66.3639743301662,13.5871468674087,10.7646521362983
11,0.05,0,1.60478422698685,77.4865654910483,19.2009001038718,0.510504999975406
11,0.05,0.01,1.59850804355349,77.2674738743278,19.0489125760514,14.3218789927354
11,0.05,0.02,1.54446187495335,75.3528606059618,17.8205115879026,13.5518941235104
11,0.05,0.04,1.44909922309154,71.8503872742256,15.932646068356,12.0226443461741
