caseID,sideForceScale,rollMomentScale,yawMomentScale,aileronEffectivenessScale,inertiaScale,IxzNormalized,riseTime_s,overshoot_pct,settlingTime_s,finalBankError_deg,peakRollRate_degps,peakAutomaticAileron_deg,peakAutomaticRudder_deg,peakSideslip_deg,peakYawRate_degps,peakAileronRate_degps
529,1.2,0.8,1,1,1.2,-0.1,3.24,3.67499872380995,10.86,4.01981844324444e-07,3.47174897633236,0.621364778433049,0.116040137832419,0.256807706262502,1.7803851434587,1.25073336496583
530,1.2,0.8,1,1,1.2,0,3.28,3.67538691976944,10.88,3.82358001641153e-07,3.46888460081533,0.608643126139122,0.121336017894778,0.259095155183782,1.78082550939509,1.24875724387609
531,1.2,0.8,1,1,1.2,0.1,3.28,3.67561508745763,10.9,3.62859627069215e-07,3.46480448422672,0.596289589315209,0.126940082524668,0.261761655056888,1.78117310348854,1.24586363831184
532,1.2,0.8,1,1.2,0.8,-0.1,3.32,2.69311576803647,10.02,1.24641732796183e-06,3.48953236343993,0.510466101870706,0.111464444685876,0.250182347707416,1.7620559064913,1.19168892561467
533,1.2,0.8,1,1.2,0.8,0,3.32,2.69668618325006,10.04,1.23053038576544e-06,3.47660020206145,0.502921727907583,0.113844958421053,0.251182089457536,1.76236289449937,1.18933014942866
534,1.2,0.8,1,1.2,0.8,0.1,3.36,2.70007062292682,10.06,1.21460372639247e-06,3.46378523946355,0.495803418551684,0.116235145384508,0.252296331111953,1.76266830927949,1.18489963608255
535,1.2,0.8,1,1.2,1,-0.1,3.3,2.71539298744543,10.04,1.24934840629519e-06,3.54440699251385,0.524126003799736,0.1145084655571,0.251303111220142,1.76279364696296,1.21481758256499
536,1.2,0.8,1,1.2,1,0,3.32,2.72011922136202,10.06,1.22965937973398e-06,3.53581994609243,0.514118549507782,0.118399618809024,0.252806293514016,1.7631668301506,1.21291850665914
537,1.2,0.8,1,1.2,1,0.1,3.34,2.72451705579205,10.06,1.20991044106424e-06,3.52682004745795,0.504560548255746,0.122426108578089,0.254537349932471,1.76354013079332,1.20911957568659
538,1.2,0.8,1,1.2,1.2,-0.1,3.28,2.73779519440415,10.04,1.25243941723043e-06,3.59473586849014,0.53903294917789,0.117306339546871,0.252733899546439,1.76366850138782,1.23186289045157
539,1.2,0.8,1,1.2,1.2,0,3.3,2.74418340290803,10.06,1.22901450955009e-06,3.59345813219657,0.527255484742848,0.123216054980127,0.254978236012564,1.7640171549226,1.23027979485859
540,1.2,0.8,1,1.2,1.2,0.1,3.32,2.7500980008004,10.08,1.20550624748295e-06,3.59060942619204,0.515862160793907,0.129463279269068,0.257630900108263,1.76434004170512,1.22696148831051
541,1.2,0.8,1.2,0.8,0.8,-0.1,3.3,5.32868540721943,11.76,1.31203654907394e-07,3.15832787149623,0.720753398797969,0.112254834168775,0.261537451724932,1.8071736785382,1.24096028968955
542,1.2,0.8,1.2,0.8,0.8,0,3.3,5.31370314804731,11.78,1.36429422339285e-07,3.14482788437151,0.714263342404371,0.113458750118247,0.262510747460726,1.80730864205084,1.23940572554437
543,1.2,0.8,1.2,0.8,0.8,0.1,3.3,5.29878518225768,11.78,1.42032498973037e-07,3.13175520086048,0.708089531179,0.114644250032918,0.263566123159889,1.80744059242073,1.23645779095516
544,1.2,0.8,1.2,0.8,1,-0.1,3.26,5.39169259969279,11.76,1.276711877532e-07,3.20192787920244,0.732905942458584,0.114679275754285,0.262752157825772,1.8088497275394,1.26092368279193
545,1.2,0.8,1.2,0.8,1,0,3.26,5.37243918988687,11.76,1.33716246987708e-07,3.18894965731097,0.723738240059967,0.116720373154666,0.264150571763696,1.80901370222463,1.25906476239488
546,1.2,0.8,1.2,0.8,1,0.1,3.3,5.35324290496058,11.78,1.40342706847154e-07,3.17645207837103,0.715033335072797,0.118811708559061,0.265692364209671,1.80917084088679,1.25553784144648
547,1.2,0.8,1.2,0.8,1.2,-0.1,3.24,5.45691410453549,11.74,1.24362472620847e-07,3.24468094328569,0.74660875032141,0.117157332445218,0.264236627826349,1.81062903646721,1.27644977375691
548,1.2,0.8,1.2,0.8,1.2,0,3.24,5.43319865655171,11.76,1.31017132868377e-07,3.23554371226875,0.734768634770702,0.12047609126817,0.266215726961371,1.81078489187366,1.27489233211837
549,1.2,0.8,1.2,0.8,1.2,0.1,3.28,5.40966362899096,11.78,1.38495302334032e-07,3.22640080062393,0.723450899905567,0.124022385930359,0.268461504000525,1.81091370395775,1.27178092324529
550,1.2,0.8,1.2,1,0.8,-0.1,3.3,3.74777788091746,10.92,3.49281536981352e-07,3.31927091992084,0.603119633073607,0.113582715873287,0.256051147138376,1.78020857968597,1.21620569269486
551,1.2,0.8,1.2,1,0.8,0,3.3,3.74430738882199,10.94,3.39445086406865e-07,3.30547380210268,0.596757338560851,0.115160813123033,0.257026311391937,1.78044645636159,1.2142768790694
552,1.2,0.8,1.2,1,0.8,0.1,3.3,3.74066447079153,10.94,3.29619239801686e-07,3.2921966417733,0.590814456296274,0.116724375903722,0.258095451414721,1.78068122312737,1.2106243254816
553,1.2,0.8,1.2,1,1,-0.1,3.26,3.78034680550591,10.92,3.62105953290231e-07,3.3690965889899,0.614980111710909,0.116291593457054,0.257182110632882,1.78120294932053,1.23564836554716
554,1.2,0.8,1.2,1,1,0,3.26,3.77600838072625,10.92,3.49902074331647e-07,3.3571348032654,0.605993804710092,0.118941578543651,0.258602015125411,1.78150389791988,1.23409154516782
555,1.2,0.8,1.2,1,1,0.1,3.3,3.77147940232123,10.94,3.37715849041823e-07,3.34523603971315,0.597544061736283,0.121663236100027,0.260194372862161,1.78180083311702,1.23095327088827
556,1.2,0.8,1.2,1,1.2,-0.1,3.24,3.81397171905593,10.9,3.74913825943934e-07,3.41692779528293,0.62849327978246,0.119012424151197,0.258614043002809,1.78224422677445,1.2507079762236
557,1.2,0.8,1.2,1,1.2,0,3.24,3.80897302962695,10.92,3.60374751932673e-07,3.41003547480277,0.617196598764785,0.123235709772619,0.260676604211615,1.78256740952144,1.24877589146382
558,1.2,0.8,1.2,1,1.2,0.1,3.28,3.8036045682586,10.94,3.45862450240443e-07,3.40261065634822,0.606425864152425,0.127714634059777,0.263076472933037,1.78288258515539,1.24590900255176
559,1.2,0.8,1.2,1.2,0.8,-0.1,3.32,2.79389934267377,10.12,1.1781145233789e-06,3.43854075730798,0.519466513022839,0.114397815491804,0.25215896177115,1.76354010206308,1.19165890315948
560,1.2,0.8,1.2,1.2,0.8,0,3.32,2.79477727908623,10.12,1.16647056675949e-06,3.42466412197041,0.513284774748631,0.116263092266872,0.25310309136466,1.76378232176313,1.18936152623505
561,1.2,0.8,1.2,1.2,0.8,0.1,3.32,2.79547896630876,10.14,1.15478570025549e-06,3.41118360491109,0.507535516200684,0.118122555376063,0.25415025074773,1.76402385076003,1.18501712537684
562,1.2,0.8,1.2,1.2,1,-0.1,3.28,2.81130311279196,10.1,1.1880062551743e-06,3.49214416158639,0.531045972833551,0.117341497255316,0.253197747585441,1.76414392451393,1.21479257096222
