caseID,cgIn,iyKgm2,clDeltaE,isStable,fastModeWn,fastModeZeta,phaseMargin_deg,gainMargin_dB,gainCrossover_radps,qdShortPeriodWn,bandwidthSeparationRatio,overshoot_pct,riseTime_s,settlingTime_s,peakPitchRate_degps,peakElevatorCommand_deg,peakTotalElevator_deg,peakSpeedPerturbation_mps,peakSpeedPerturbationFraction,peakAlphaPerturbation_deg,finalSpeedPerturbation_mps,finalAlphaPerturbation_deg,finalAttitudeError_deg,finalInitialDisturbance_deg,finalBiasResponse_deg
11,41,2800,0.427,1,5.52891215249977,0.611871080418316,54.8870708719094,Inf,1.0504526697384,5.27169744651633,5.018500688688,0.811736689085317,2.88,30.22,0.330990234873659,0.584072220639354,0.584045354825123,3.72601798612689,0.0658436321915218,0.59687606167083,-3.72601798612689,0.59687606167083,0.00629398203250258,2.58229168614431e-05,5.20832432147484e-05
12,41,2800,0.5,1,5.52658573988542,0.612456084167752,54.8908433314122,Inf,1.04315211987802,5.26569245947718,5.04786632662255,0.922611013342841,2.88,30.48,0.329806689490092,0.590696050736846,0.590668909093355,3.71538673901627,0.065655764090215,0.603645688078536,-3.71538673901627,0.603645688078536,0.00634049319338322,2.65974697325575e-05,5.26113905613473e-05
13,44.15,1800,0.3,1,6.39181791401399,0.743505001272723,58.1170012600644,Inf,1.19769467569004,6.0673209349291,5.06583276863401,0,2.86,22.46,0.345464792888553,0.432847613783442,0.432827757298684,3.76711900880322,0.0665699412511859,0.581252403469978,-3.76711900880322,0.581252403469978,0.00462200148067755,1.95830071945566e-05,3.84837704436982e-05
14,44.15,1800,0.427,1,6.38718299069154,0.744189675408185,58.1353766991597,Inf,1.18719102447126,6.05657181300117,5.10159838489225,0,2.88,22.86,0.344023756671375,0.439194652755826,0.439174534242697,3.75394841564731,0.066337199569656,0.589776551245262,-3.75394841564731,0.589776551245262,0.00466524076100687,2.03842409656357e-05,3.89850642951778e-05
15,44.15,1800,0.5,1,6.38452763012389,0.744583531364034,58.1467382917073,Inf,1.181117206294,6.0503846744116,5.12259464358828,0,2.88,23.08,0.343180205815936,0.442927424226609,0.442907152238515,3.74619698886631,0.0662002216764124,0.594789721626625,-3.74619698886631,0.594789721626625,0.00469032093077014,2.08627330076083e-05,3.92785665555781e-05
16,44.15,1828.6803192735,0.3,1,6.33882780297693,0.739765047824824,58.043468539574,Inf,1.19785366694838,6.01957941851507,5.02530449637508,0,2.86,22.46,0.345682607357908,0.432847606917583,0.432827750430267,3.76711898396811,0.066569940812317,0.58125239935613,-3.76711898396811,0.58125239935613,0.00462200208798141,1.95832624902881e-05,3.84837753993576e-05
17,44.15,1828.6803192735,0.427,1,6.33425646566349,0.740455875135489,58.0622654203426,Inf,1.18734525097576,6.00891512467455,5.06079855015753,0,2.88,22.86,0.344238580653865,0.439194646047684,0.439174527532027,3.75394839379205,0.0663371991834449,0.589776547431427,-3.75394839379205,0.589776547431427,0.0046652413574382,2.03844730839438e-05,3.89850691926089e-05
18,44.15,1828.6803192735,0.5,1,6.33163769657629,0.740853262202775,58.0738715741068,Inf,1.18126872134517,6.00277681396197,5.08163528373653,0,2.88,23.08,0.343393797736034,0.442927417614903,0.4429071456243,3.74619696875841,0.0662002213210794,0.594789717994331,-3.74619696875841,0.594789717994331,0.00469032152046326,2.08629510048278e-05,3.92785714183883e-05
19,44.15,2300,0.3,1,5.61267763877697,0.690827590682489,56.8219455419343,Inf,1.20023335979622,5.36788723341178,4.47236963512093,0,2.82,22.48,0.349409595789222,0.432847494087152,0.432827637557802,3.76711857584149,0.0665699336001835,0.581252331751271,-3.76711857584149,0.581252331751271,0.00462201206809525,1.95874581453234e-05,3.84838567805303e-05
20,44.15,2300,0.427,1,5.60900963597609,0.691613476814818,56.8478895455377,Inf,1.1896516266596,5.35838140380949,4.50416011185995,0,2.84,22.86,0.347905387327372,0.439194535808393,0.439174417251201,3.753948034629,0.066337192836562,0.58977648475595,-3.753948034629,0.58977648475595,0.00466525115866553,2.03882877980816e-05,3.89851495941882e-05
21,44.15,2300,0.5,1,5.60691075068462,0.692065369884813,56.8636416367889,Inf,1.18353339671127,5.35290991880578,4.52282118415932,0,2.84,23.08,0.347031708006083,0.44292730896086,0.44290703692903,3.7461966383143,0.066200215481698,0.594789658302799,-3.7461966383143,0.594789658302799,0.00469033121102259,2.08665335935271e-05,3.9278651233832e-05
22,44.15,2800,0.3,1,5.04825383663616,0.656564947708111,55.5008298797487,Inf,1.20226101468475,4.86549716205622,4.04695577967488,0,2.8,22.48,0.353979710600104,0.432847374390237,0.432827517816337,3.76711814287902,0.0665699259491678,0.581252260032242,-3.76711814287902,0.581252260032242,0.00462202265535989,1.95919097177527e-05,3.84839430016804e-05
23,44.15,2800,0.427,1,5.04534391363421,0.657441769722258,55.5347797352124,Inf,1.19161250234106,4.85688534049137,4.07589323790199,0,2.78,22.86,0.352393222113561,0.439194418860258,0.439174300259057,3.75394765360986,0.0663371861034532,0.589776418266262,-3.75394765360986,0.589776418266262,0.00466526155595583,2.03923352226759e-05,3.8985234719177e-05
24,44.15,2800,0.5,1,5.04368135483433,0.657945712983751,55.5551730246296,Inf,1.18545633398921,4.85192846128265,4.09287826313711,0,2.8,23.08,0.351464792532443,0.442927193694343,0.442906921618835,3.74619628776107,0.0662002092869619,0.594789594978533,-3.74619628776107,0.594789594978533,0.00469034149073375,2.08703346853109e-05,3.92787356999971e-05
25,47.3,1800,0.3,1,5.70181207228042,0.817170513561278,58.0125503322165,Inf,1.3877116186571,5.49788857219691,3.96183796278744,0,2.82,13.16,0.371067756683769,0.294789985055161,0.294776531791981,3.7898886179041,0.0669723101534202,0.57710109231346,-3.7898886179041,0.57710109231346,0.00309674935999966,1.40360755699439e-05,2.6060800107865e-05
26,47.3,1800,0.427,1,5.69865040999885,0.817639062646597,58.0456768719039,Inf,1.37973714957117,5.48975522448994,3.97884135119227,0,2.82,13.42,0.37010514729217,0.297718106369282,0.297704534004762,3.78116130884171,0.066818087138377,0.582834361307254,-3.78116130884171,0.582834361307254,0.00311573995615918,1.44566662244349e-05,2.62883414482225e-05
27,47.3,1800,0.5,1,5.69683870704611,0.817908444981337,58.0651844687766,Inf,1.37513156618883,5.4850747846393,3.98876363506161,0,2.82,13.58,0.36954237275521,0.299427510663128,0.299413868979648,3.77606357532871,0.0667280034909845,0.586181388898358,-3.77606357532871,0.586181388898358,0.00312671352717681,1.47048806093599e-05,2.64207361124674e-05
28,47.3,1828.6803192735,0.3,1,5.65332532675025,0.812993947331217,57.9049577269563,Inf,1.38783457306147,5.45463770029752,3.9303226812292,0,2.82,13.16,0.371454712085631,0.294789980370437,0.294776527105448,3.78988859254513,0.0669723097052938,0.577101088237008,-3.78988859254513,0.577101088237008,0.00309674978204158,1.40362508308548e-05,2.60608036120473e-05
29,47.3,1828.6803192735,0.427,1,5.65021342307182,0.813469192743382,57.9384632426381,Inf,1.37985683449487,5.44656858706318,3.94719832587343,0,2.82,13.42,0.370489794821507,0.297718101838017,0.297704529471735,3.78116128653045,0.0668180867441077,0.582834357592068,-3.78116128653045,0.582834357592068,0.00311574036588181,1.44568239077192e-05,2.62883448629471e-05
30,47.3,1828.6803192735,0.5,1,5.6484303560046,0.813742417771718,57.9581905357774,Inf,1.37524938702705,5.44192511276533,3.95704601950736,0,2.82,13.58,0.369925667456259,0.29942750622344,0.299413864538227,3.77606355479345,0.0667280031280996,0.586181385398053,-3.77606355479345,0.586181385398053,0.00312671392951678,1.47050277928195e-05,2.64207394724532e-05
31,47.3,2300,0.3,1,4.98735605284092,0.758344438155671,56.1201801615537,Inf,1.38924767511775,4.8642598039304,3.50136256554695,0,2.78,13.26,0.378416750009921,0.294789903383219,0.294776450088512,3.78988817580179,0.0669723023408916,0.577101021245575,-3.78988817580179,0.577101021245575,0.00309675671770582,1.40391309952577e-05,2.60608612186417e-05
32,47.3,2300,0.427,1,4.98496194118597,0.75892236404234,56.1600672611876,Inf,1.38122456491817,4.85706800432964,3.5164940790185,0,2.78,13.52,0.377379875522775,0.297718027373115,0.297704454977879,3.78116091987685,0.066818080264857,0.582834296538347,-3.78116091987685,0.582834296538347,0.00311574709910712,1.44594152074334e-05,2.62884009782396e-05
33,47.3,2300,0.5,1,4.98359198574489,0.759254464900447,56.1834931825801,Inf,1.37659128677298,4.8529294069314,3.52532335019182,0,2.78,13.7,0.376774067999382,0.299427433263232,0.299413791549526,3.7760632173227,0.066727997164548,0.586181327875088,-3.7760632173227,0.586181327875088,0.00312672054129579,1.47074465419818e-05,2.64207946906172e-05
34,47.3,2800,0.3,1,4.46703697214654,0.720148330129006,54.1990619119591,Inf,1.38948173575887,4.40916318260161,3.17324299350615,0,2.74,13.38,0.386826511527904,0.294789821710949,0.294776368384715,3.78988773369803,0.0669722945283375,0.57710095017746,-3.78988773369803,0.57710095017746,0.00309676407542927,1.40421864314504e-05,2.60609223294786e-05
35,47.3,2800,0.427,1,4.46526703656186,0.720823946315248,54.2459548065279,Inf,1.38142833991473,4.40264857868731,3.18702639252287,0,2.72,13.66,0.385723654463233,0.297717948376596,0.297704375950643,3.78116053091018,0.066818073391305,0.582834231769146,-3.78116053091018,0.582834231769146,0.00311575424208608,1.44621641974444e-05,2.62884605097016e-05
36,47.3,2800,0.5,1,4.46425631137335,0.721211960310472,54.2734397840493,Inf,1.37677790865509,4.39889969747388,3.19506847823479,0,2.72,13.82,0.385079513198252,0.299427355863061,0.299413714119128,3.77606285931586,0.0667279908380969,0.586181266851672,-3.77606285931586,0.586181266851672,0.00312672755543883,1.47100124790874e-05,2.6420853267267e-05
