caseID,cgIn,cgPercentMAC,staticMarginPct,iyKgm2,clDeltaE,cmAlpha,isStable,spReal,spImag,spWn,spZeta,spPeriod_s,phReal,phImag,phWn,phZeta,phPeriod_s,alphaDot0_degps,qDot0_degps2
18,44.15,31.0374149659864,17.0534941249227,1828.6803192735,0.5,-0.937942176870748,1,-3.54722086827018,4.05819915897492,5.38996811699255,0.658115371237007,1.54826933352544,-0.0126209106830489,0.209909321003914,0.210288398231557,0.0600171516316916,29.932855183036,0.213293492026126,28.6943225885243
19,44.15,31.0374149659864,17.0534941249227,2300,0.3,-0.937942176870748,1,-3.06173294826526,3.70513362703526,4.80647727974247,0.637001439946329,1.69580531760934,-0.0121576947022946,0.209919335069585,0.210271103046831,0.0578191416991183,29.9314272556018,0.127976095215675,22.9039913546301
20,44.15,31.0374149659864,17.0534941249227,2300,0.427,-0.937942176870748,1,-3.06173294826526,3.70513362703526,4.80647727974247,0.637001439946329,1.69580531760934,-0.0121576947022946,0.209919335069585,0.210271103046831,0.0578191416991183,29.9314272556018,0.182152642190311,22.8469967575921
21,44.15,31.0374149659864,17.0534941249227,2300,0.5,-0.937942176870748,1,-3.06173294826526,3.70513362703526,4.80647727974247,0.637001439946329,1.69580531760934,-0.0121576947022946,0.209919335069585,0.210271103046831,0.0578191416991183,29.9314272556018,0.213293492026126,22.8142360837041
22,44.15,31.0374149659864,17.0534941249227,2800,0.3,-0.937942176870748,1,-2.72553729852783,3.39888033230968,4.35671218684778,0.625594985768349,1.84860444995717,-0.0116660011123413,0.209924408488454,0.210248312386046,0.0554867764689631,29.9307038777492,0.127976095215675,18.8139928984461
23,44.15,31.0374149659864,17.0534941249227,2800,0.427,-0.937942176870748,1,-2.72553729852783,3.39888033230968,4.35671218684778,0.625594985768349,1.84860444995717,-0.0116660011123413,0.209924408488454,0.210248312386046,0.0554867764689631,29.9307038777492,0.182152642190311,18.7671759080221
24,44.15,31.0374149659864,17.0534941249227,2800,0.5,-0.937942176870748,1,-2.72553729852783,3.39888033230968,4.35671218684778,0.625594985768349,1.84860444995717,-0.0116660011123413,0.209924408488454,0.210248312386046,0.0554867764689631,29.9307038777492,0.213293492026126,18.7402653544712
25,47.3,36.3945578231293,11.6963512677798,1800,0.3,-0.643299319727891,1,-3.58497275127522,3.16093153742457,4.77948928356065,0.750074440716074,1.98776380721581,-0.0126537590904847,0.197552302276265,0.197957141204284,0.0639217105960652,31.8051737933832,0.127976095215675,29.2662111753607
26,47.3,36.3945578231293,11.6963512677798,1800,0.427,-0.643299319727891,1,-3.58497275127522,3.16093153742457,4.77948928356065,0.750074440716074,1.98776380721581,-0.0126537590904847,0.197552302276265,0.197957141204284,0.0639217105960652,31.8051737933832,0.182152642190311,29.1933847458121
27,47.3,36.3945578231293,11.6963512677798,1800,0.5,-0.643299319727891,1,-3.58497275127522,3.16093153742457,4.77948928356065,0.750074440716074,1.98776380721581,-0.0126537590904847,0.197552302276265,0.197957141204284,0.0639217105960652,31.8051737933832,0.213293492026126,29.151523884733
28,47.3,36.3945578231293,11.6963512677798,1828.6803192735,0.3,-0.643299319727891,1,-3.54722032646464,3.14688237681495,4.74190264956931,0.748058445861773,1.99663811824418,-0.0126214524885913,0.197552640425952,0.197955416198161,0.0637590662129534,31.8051193526552,0.127976095215675,28.8072111677659
29,47.3,36.3945578231293,11.6963512677798,1828.6803192735,0.427,-0.643299319727891,1,-3.54722032646464,3.14688237681495,4.74190264956931,0.748058445861773,1.99663811824418,-0.0126214524885913,0.197552640425952,0.197955416198161,0.0637590662129534,31.8051193526552,0.182152642190311,28.7355269199474
30,47.3,36.3945578231293,11.6963512677798,1828.6803192735,0.5,-0.643299319727891,1,-3.54722032646464,3.14688237681495,4.74190264956931,0.748058445861773,1.99663811824418,-0.0126214524885913,0.197552640425952,0.197955416198161,0.0637590662129534,31.8051193526552,0.213293492026126,28.6943225885243
31,47.3,36.3945578231293,11.6963512677798,2300,0.3,-0.643299319727891,1,-3.06180019800184,2.91700018210358,4.22888998614015,0.72401982743383,2.15398865784386,-0.0120904449657083,0.197554444661669,0.197924069948678,0.0610862790404593,31.8048288811733,0.127976095215675,22.9039913546301
32,47.3,36.3945578231293,11.6963512677798,2300,0.427,-0.643299319727891,1,-3.06180019800184,2.91700018210358,4.22888998614015,0.72401982743383,2.15398865784386,-0.0120904449657083,0.197554444661669,0.197924069948678,0.0610862790404593,31.8048288811733,0.182152642190311,22.8469967575921
33,47.3,36.3945578231293,11.6963512677798,2300,0.5,-0.643299319727891,1,-3.06180019800184,2.91700018210358,4.22888998614015,0.72401982743383,2.15398865784386,-0.0120904449657083,0.197554444661669,0.197924069948678,0.0610862790404593,31.8048288811733,0.213293492026126,22.8142360837041
34,47.3,36.3945578231293,11.6963512677798,2800,0.3,-0.643299319727891,1,-2.72567623023228,2.69565768348899,3.8335207392952,0.711011212824009,2.33085430159191,-0.0115270694078979,0.197548620442541,0.197884640050424,0.0582514610783367,31.8057665657407,0.127976095215675,18.8139928984461
35,47.3,36.3945578231293,11.6963512677798,2800,0.427,-0.643299319727891,1,-2.72567623023228,2.69565768348899,3.8335207392952,0.711011212824009,2.33085430159191,-0.0115270694078979,0.197548620442541,0.197884640050424,0.0582514610783367,31.8057665657407,0.182152642190311,18.7671759080221
36,47.3,36.3945578231293,11.6963512677798,2800,0.5,-0.643299319727891,1,-2.72567623023228,2.69565768348899,3.8335207392952,0.711011212824009,2.33085430159191,-0.0115270694078979,0.197548620442541,0.197884640050424,0.0582514610783367,31.8057665657407,0.213293492026126,18.7402653544712
