caseID,plantCaseID,aileronTau_s,isDynamicStable,neutralHeadingPoleMagnitude,minimumDynamicDecayRate_per_s,minimumOscillatoryDampingRatio,balancedDiskMargin,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
430,144,0.035,1,0,0.429012395893937,0.466454479604972,1.42973636289788,71.1195399660443,15.5837011661855,0.469894108605215
431,144,0.05,1,0,0.431799824747513,0.464356675625438,1.42290838214133,70.860216846065,15.4630101723388,0.478630092322638
432,144,0.075,1,0,0.436630489324226,0.460598912418253,1.41109537185448,70.4095857010562,15.2569778947339,0.487528490103386
433,145,0.035,1,0,0.502131104141452,0.736578829310657,1.51594874432313,74.3223895300949,17.2230236843451,0.501187233627272
434,145,0.05,1,0,0.50575282153064,0.733229898427898,1.5092142527862,74.0769289619154,17.0863588518093,0.510504999975406
435,145,0.075,1,0,0.512040984289593,0.726982227008529,1.49740934227218,73.6447386086996,16.8506410845297,0.524807460249773
436,146,0.035,1,0,0.500301329755396,0.722179208469083,1.52171435621427,74.5319047921844,17.3413356489406,0.492039535681451
437,146,0.05,1,0,0.503890698248379,0.719227384955558,1.51516344650319,74.2938077343104,17.2070033621589,0.501187233627272
438,146,0.075,1,0,0.510123091481215,0.713692101945748,1.50371231586275,73.8758020716759,16.9758988370826,0.519995996533516
439,147,0.035,1,0,0.498487056591526,0.703851642564333,1.52731579611256,74.7348975230283,17.4574650781193,0.487528490103386
440,147,0.05,1,0,0.502043817786395,0.701216147235929,1.52094695821559,74.5040520494758,17.3255176106806,0.496592321450336
441,147,0.075,1,0,0.508219863278792,0.696241620208111,1.50981265739385,74.0987719778445,17.0984368584629,0.510504999975406
442,148,0.035,1,0,0.504555383137082,0.590281644433638,1.50508922717594,73.9261858593877,17.0034434150825,0.510504999975406
443,148,0.05,1,0,0.508267452412439,0.587356626078721,1.49806742662306,73.6688963057496,16.8636559176545,0.519995996533516
444,148,0.075,1,0,0.5147175146823,0.582054199626554,1.48573900211764,73.2150621807615,16.6222255519176,0.539510622515128
445,149,0.035,1,0,0.502218230957653,0.573180351919142,1.51254057856101,74.1982671808271,17.1536576285483,0.501187233627272
446,149,0.05,1,0,0.505887971793323,0.570481054676496,1.50577258781647,73.9511789442236,17.0171382227234,0.510504999975406
447,149,0.075,1,0,0.512264987343376,0.565541645531185,1.49391825687392,73.5164563279654,16.7818413929096,0.524807460249773
448,150,0.035,1,0,0.499906307052888,0.555220605328326,1.51973659715091,74.4601010075739,17.3006134033583,0.492039535681451
449,150,0.05,1,0,0.503533313485611,0.552686189819443,1.51320020785007,74.2223061794734,17.1670503129554,0.501187233627272
450,150,0.075,1,0,0.509836360826589,0.548000280466885,1.501774744497,73.8048462134047,16.9372493525175,0.515228644581756
451,151,0.035,1,0,0.507103978684427,0.500341048762372,1.49400853414022,73.5197763326155,16.7836153880068,0.519995996533516
452,151,0.05,1,0,0.510913286550045,0.497666185981453,1.48668593552663,73.2500158257577,16.6405933219277,0.529663443891658
453,151,0.075,1,0,0.517537880181772,0.4928832708311,1.47379086372697,72.7726640172674,16.3929056877273,0.549540873857625
454,152,0.035,1,0,0.504234762495525,0.481493370015215,1.5032678564569,73.8595313459631,16.9670216043116,0.510504999975406
455,152,0.05,1,0,0.507990754547513,0.478943808752023,1.49627296235048,73.6030051417758,16.8282013872638,0.519995996533516
456,152,0.075,1,0,0.514523241627412,0.474333024291792,1.4839975017877,73.1507377362716,16.5885206133195,0.534564359396972
457,153,0.035,1,0,0.501403494964404,0.463064813791947,1.51213168282871,74.1833618832918,17.1453635098358,0.496592321450336
458,153,0.05,1,0,0.505105585799698,0.460596284246696,1.50542899243707,73.9386133866022,17.0102504088564,0.505824662003114
459,153,0.075,1,0,0.511544614725851,0.45608147386676,1.49370823382544,73.5087320389552,16.7777153779529,0.524807460249773
460,154,0.035,1,0,0.559884218464944,0.727468368089446,1.57811922558106,76.5510899149169,18.5693014588178,0.519995996533516
461,154,0.05,1,0,0.564010912841805,0.723597665069185,1.57164968111527,76.3222857375372,18.4213952151876,0.529663443891658
462,154,0.075,1,0,0.571163602189517,0.716297835134877,1.56019402096355,75.9153730032949,18.1642507464119,0.549540873857625
463,155,0.035,1,0,0.558026767115324,0.715141656948055,1.5836265030801,76.7452958561472,18.6967932374391,0.510504999975406
464,155,0.05,1,0,0.562137916017502,0.711763515144961,1.57737422984349,76.5247787799231,18.5521679792828,0.519995996533516
465,155,0.075,1,0,0.569266464691742,0.705353626940799,1.56632731350042,76.1335130712851,18.3011825875733,0.539510622515128
466,156,0.035,1,0,0.556168223633754,0.698776810007216,1.58895609492509,76.9327410249907,18.8215986513752,0.505824662003114
467,156,0.05,1,0,0.560262528113753,0.695812287658625,1.5829004079519,76.7197209635699,18.6798994279235,0.515228644581756
468,156,0.075,1,0,0.567364517752356,0.690146322418803,1.57223413051565,76.3429851515661,18.4346757075246,0.529663443891658
469,157,0.035,1,0,0.563437241011153,0.583222925017007,1.56779992714132,76.1857922660726,18.334313130658,0.534564359396972
470,157,0.05,1,0,0.567678995733647,0.579858459460111,1.56098460228668,75.9435277093646,18.1818068628501,0.544502652842421
471,157,0.075,1,0,0.575035631452038,0.573669483408106,1.54889010440037,75.5116282462857,17.9162039434824,0.564936974812303
472,158,0.035,1,0,0.56106290399767,0.568439262881922,1.5749745298611,76.4399633691105,18.4971599112717,0.519995996533516
473,158,0.05,1,0,0.565284610328493,0.565402452099831,1.56846950203111,76.2095504572975,18.3494098991832,0.529663443891658
