caseID,plantCaseID,actuatorTau_s,isDynamicStable,neutralHeadingPoleMagnitude,dutchNaturalFrequency_radps,dutchDampingRatio,dutchDecayRate_radps,rollModeFrequencyRatio,rollModeDampingRatio,spiralDecayRateRatio,balancedDiskMargin,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
1145,382,0.05,1,0,2.78372790231698,0.550345768427202,1.53201287149288,1.01858550808513,1,0.956006635368102,1.77156418196605,83.0678954717405,24.3551460339283,12.2461619926505
1146,382,0.075,1,0,2.87033289544185,0.57493520274087,1.65025542517465,1.03044648746653,0.996120998736131,0.95599376697993,1.7322435541048,81.7930996047441,22.8846008386415,10
1147,383,0.035,1,0,2.76174067966924,0.510163477306119,1.40893922855783,0.991148338979737,1,0.955933572775131,1.76503271827898,82.8578593968849,24.0952272384505,1.25892541179417
1148,383,0.05,1,0,2.80124664369919,0.523254263083853,1.46576424826494,0.986676155451878,1,0.955925826316829,1.76607307148114,82.8913602346742,24.1361704731104,11.5877735615513
1149,383,0.075,1,0,2.89006145408753,0.545377992988281,1.57617591544305,0.943341432155826,1,0.955912909778186,1.72301558199119,81.4903098273675,22.568790314612,9.46237161365793
1150,384,0.035,1,0,2.76759554388306,0.486231236283317,1.34569140283446,0.982116539934416,1,0.9558525562433,1.75472103570073,82.5248721794028,23.6983474419683,1.29419584144999
1151,384,0.05,1,0,2.80746391248499,0.498418022025024,1.3992906101674,0.973248189061537,1,0.955844780767003,1.76136334003347,82.7395621193068,23.9521625107161,11.2719745617551
1152,384,0.075,1,0,2.89550722062295,0.518457085852604,1.50119623566935,0.907433203049802,1,0.955831815832757,1.7154920908262,81.2424232269939,22.3184399419329,9.20449571753171
1153,385,0.035,1,0,2.51759586407828,0.473982242419969,1.19329573316306,1.00946269906546,1,0.956323234580157,1.77091628139532,83.0470909601125,24.3290533298874,1.22461619926505
1154,385,0.05,1,0,2.54258325372306,0.48439346535224,1.23161071321749,1.01273961448574,1,0.956315623685072,1.78025285145575,83.3462487231072,24.7119520262618,1.20226443461741
1155,385,0.075,1,0,2.59580310383916,0.502026156334462,1.30316105482144,1.03171354286951,1,0.956302933233688,1.7666333344792,82.9093943295587,24.1582904953009,9.54992586021436
1156,386,0.035,1,0,2.52618869301648,0.445850820401529,1.12630330127046,0.993322341009889,1,0.956227444057023,1.75869427157959,82.6533785178176,23.8493874042094,1.25892541179417
1157,386,0.05,1,0,2.55207460200777,0.455446827536917,1.16233428112198,0.991144410828976,1,0.956219799171686,1.76884577516701,82.9805607816102,24.2461306112556,1.23594743344451
1158,386,0.075,1,0,2.60631580624658,0.471281743253703,1.22830905663757,0.981034324961363,1,0.956207052031627,1.75961189854268,82.6830213489639,23.8846009581519,9.1201083935591
1159,387,0.035,1,0,2.52714123212871,0.420546066178828,1.06277930385005,0.986663462604965,1,0.956131317714231,1.7455141714439,82.2261201179519,23.3569568324537,1.29419584144999
1160,387,0.05,1,0,2.55315894207916,0.429442092153036,1.0964339176857,0.982323121913202,1,0.956123638630684,1.75658805415809,82.5852886743443,23.7690336998673,1.27057410520854
1161,387,0.075,1,0,2.60687648502833,0.443806727055758,1.15694932065904,0.963017555221772,1,0.956110834456072,1.75366561779506,82.4906942324601,23.6586109906067,8.79022516830884
1162,388,0.035,1,0,2.7827442752928,0.75694467828379,2.10638347020757,1.02724516025025,1,0.945242238975536,1.7104483929901,81.0757249107805,22.1540083189212,15.2756605823807
1163,388,0.05,1,0,2.80376138800623,0.803762713045479,2.25355885995604,1.09567520848851,0.996801305370879,0.94523277680553,1.66920946392027,79.6970703382555,20.9003885823026,12.9419584144999
1164,388,0.075,1,0,2.48401769363925,0.922732447264744,2.29208372550067,0.966912921708411,1,0.945216999674773,1.61847376717336,77.9621226030656,19.5400204821873,10.5681750921366
1165,389,0.035,1,0,2.84173532701717,0.733513556723798,2.08445138698803,0.979562536142658,1,0.94516223175485,1.7043420001506,80.8733471176557,21.9584288236368,14.5881426027535
1166,389,0.05,1,0,2.88698152413067,0.778518366457189,2.24756814015829,0.947082449429036,1,0.94515274156468,1.66003099141983,79.3863976744416,20.6409086810315,12.3594743344451
1167,389,0.075,1,0,2.85356856011389,0.926808687580304,2.64471213211958,1.02366484074079,1,0.945136917702483,1.60469032203165,77.4832923601525,19.1986102733935,10.1859138805412
1168,390,0.035,1,0,2.88035358085362,0.709088442938747,2.04242543576054,0.958862359821522,1,0.945082038955117,1.69915226204711,80.7008688108946,21.7951091481078,14.0604752412991
1169,390,0.05,1,0,2.94054441936965,0.751144304710185,2.20877319335683,0.905365018055704,1,0.945072520630894,1.65265304809668,79.135651241465,20.4368986004464,12.0226443461741
1170,390,0.075,1,0,3.14840879052788,0.87777923734775,2.76360786700851,1.04514112308801,1,0.945056649849309,1.59388545153024,77.1056770745734,18.9383136582787,9.90831944892768
1171,391,0.035,1,0,2.56232052395866,0.630634071764443,1.61588662518965,1.0172330077537,1,0.945624882208503,1.72525780364536,81.5640091480296,22.6446193473239,1.22461619926505
