caseID,plantCaseID,aileronTau_s,isStable,minimumDecayRate_per_s,minimumOscillatoryDampingRatio,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
526,176,0.035,1,0.124458830891351,0.450098186771295,66.0298297611497,13.4616342183004,0.270395836410884
527,176,0.05,1,0.124474807821507,0.445817670616864,66.0312086570265,13.4621487709272,0.270395836410884
528,176,0.075,1,0.12450147648585,0.438261783229858,66.0333749369866,13.4629572022488,0.272897778280804
529,177,0.035,1,0.124448859060558,0.440675326243364,66.0097465666519,13.4541430727207,0.270395836410884
530,177,0.05,1,0.124464835178137,0.436538407433566,66.0109421443426,13.454588864781,0.270395836410884
531,177,0.075,1,0.124491502501003,0.429205299167256,66.0129834814326,13.4553500613489,0.270395836410884
532,178,0.035,1,0.1243842306495,0.389591020054982,65.9345300929288,13.4261392278418,0.272897778280804
533,178,0.05,1,0.124400266225547,0.385589527290241,65.935811768126,13.4266157184437,0.272897778280804
534,178,0.075,1,0.124427032890976,0.378617455081904,65.9380010691756,13.4274296938857,0.272897778280804
535,179,0.035,1,0.124372339613764,0.377753547118428,65.9107992346212,13.4173210747675,0.272897778280804
536,179,0.05,1,0.12438837414157,0.373876845557856,65.9118528743628,13.4177124235711,0.272897778280804
537,179,0.075,1,0.124415139074909,0.367091291739672,65.9136609485578,13.4183840261806,0.272897778280804
538,180,0.035,1,0.124360463725948,0.36464948037472,65.8871856330971,13.408554597974,0.272897778280804
539,180,0.05,1,0.124376497202698,0.360877871180675,65.8880125211947,13.408861441217,0.272897778280804
540,180,0.075,1,0.12440326039924,0.354242843425015,65.8894415109689,13.4093917368454,0.272897778280804
541,181,0.035,1,0.126025000614938,0.536886470035208,67.0952123229375,13.8677613082255,0.265460556197554
542,181,0.05,1,0.126039557662148,0.531758801771773,67.097588739167,13.8686869898426,0.265460556197554
543,181,0.075,1,0.12606385297307,0.522503811169523,67.1015816993046,13.8702425658834,0.265460556197554
544,182,0.035,1,0.126017022785403,0.537643170503924,67.0770495839732,13.8606894052603,0.265460556197554
545,182,0.05,1,0.126031579857119,0.532659500407134,67.079314796872,13.8615711064902,0.265460556197554
546,182,0.075,1,0.126055875220547,0.523633262652208,67.0831220365423,13.8630532049868,0.265460556197554
547,183,0.035,1,0.126009051624427,0.536438321558209,67.0589239186077,13.8536372203347,0.265460556197554
548,183,0.05,1,0.12602360871851,0.53160873484559,67.0610782343066,13.8544751277119,0.265460556197554
549,183,0.075,1,0.126047904130825,0.522830620594537,67.0647002636706,13.8558840607847,0.265460556197554
550,184,0.035,1,0.125946623268263,0.449448186883782,66.9970808114265,13.8296154173932,0.265460556197554
551,184,0.05,1,0.125961238874665,0.444628113472471,66.999553405944,13.8305746777902,0.265460556197554
552,184,0.075,1,0.125985632034307,0.436073631918459,67.0037076801613,13.8321865772217,0.265460556197554
553,185,0.035,1,0.125936718547042,0.443767414790751,66.9743891103894,13.8208165634863,0.265460556197554
554,185,0.05,1,0.125951334118334,0.439132867899245,66.9767216448828,13.8217206406259,0.265460556197554
555,185,0.075,1,0.125975727233677,0.430871055324617,66.9806420005867,13.8232403433935,0.265460556197554
556,186,0.035,1,0.125926824116909,0.436184163701321,66.95175560111,13.8120484378522,0.265460556197554
557,186,0.05,1,0.125941439649878,0.431735158372438,66.9539485584321,13.8128976239625,0.265460556197554
558,186,0.075,1,0.125965832715554,0.423765361875408,66.9576358002978,13.8143256190533,0.265460556197554
559,187,0.035,1,0.125868609317807,0.382194251534852,66.8983627918168,13.7913964990051,0.265460556197554
560,187,0.05,1,0.125883282900497,0.377825315872536,66.9007151021259,13.7923054044344,0.267916832481903
561,187,0.075,1,0.12590777293579,0.370139124258829,66.9046138377992,13.7938120233791,0.267916832481903
562,188,0.035,1,0.125856803881636,0.372672482485233,66.8711477807585,13.7808872899259,0.265460556197554
563,188,0.05,1,0.125871477344867,0.36847224445531,66.8734727392778,13.7817846272855,0.267916832481903
564,188,0.075,1,0.125895967197726,0.361043148801611,66.8770814086422,13.7831775925587,0.267916832481903
565,189,0.035,1,0.125845013082534,0.361855848450242,66.8440169479859,13.7704222128695,0.265460556197554
566,189,0.05,1,0.125859686421938,0.35780673705516,66.8462474978175,13.7712821574402,0.265460556197554
567,189,0.075,1,0.125884176085046,0.350603074786499,66.8496378737579,13.7725894000699,0.267916832481903
568,190,0.035,1,0.122090444142338,0.657690209136993,63.911009623582,12.7019922560449,0.280543363795171
569,190,0.05,1,0.12210824794192,0.653862475439841,63.9080593631621,12.7009752888357,0.280543363795171
570,190,0.075,1,0.122137971277822,0.647055007186134,63.9021191325166,12.6989279906326,0.283139199579938
571,191,0.035,1,0.122086772228363,0.653171325425656,63.9051914616842,12.6999868135894,0.280543363795171
572,191,0.05,1,0.122104572321158,0.649485117611474,63.9020616865463,12.6989081940166,0.280543363795171
573,191,0.075,1,0.122134289472046,0.64291766491281,63.8964097762545,12.6969606715323,0.283139199579938
574,192,0.035,1,0.122083102285003,0.6444584918937,63.8994153250308,12.6979962679227,0.280543363795171
575,192,0.05,1,0.122100898673279,0.640945444238541,63.8961069567458,12.6968563377368,0.280543363795171
576,192,0.075,1,0.122130609642944,0.634674232300797,63.8906778329653,12.6949859718725,0.280543363795171
577,193,0.035,1,0.122014597931548,0.543150697228921,63.7827379869862,12.6578748982909,0.283139199579938
578,193,0.05,1,0.12203244624518,0.5399339168552,63.7791168373441,12.6566323650809,0.283139199579938
579,193,0.075,1,0.122062243999718,0.534350125232284,63.7731727977686,12.6545931190604,0.283139199579938
580,194,0.035,1,0.122010047758303,0.528438712540137,63.7763633475377,12.6556876606507,0.283139199579938
