delayPlantCaseID,sensorDelay_s,delayDiskMargin,delayPhaseMargin_deg,delayGainMargin_dB,delayCriticalFrequency_radps
22,0.01,1.57987235700803,76.6129679443486,18.6097256845779,1.13762728582343
22,0.02,1.54565730683738,75.3957545840907,17.8462642009028,10.471285480509
22,0.04,1.44547741606138,71.7141927475608,15.8666033866065,9.46237161365793
22,0.06,1.35335821215022,68.1707817978572,14.2963236307264,8.70963589956081
22,0.08,1.26789807560132,64.7452291159343,12.9939390833267,8.01678063387679
23,0,1.54541903894969,75.3872071365757,17.8411266014009,1.16949939101987
23,0.01,1.55592052773171,75.76299553915,18.0698269603293,1.15877735615513
23,0.02,1.54001892989956,75.1932231898907,17.7253125026398,10
23,0.04,1.43955634601602,71.4910317699779,15.7594094486138,9.03649473722302
23,0.06,1.34677159014184,67.9115293504687,14.1912201828271,8.31763771102671
23,0.08,1.26038122952886,64.4374907578865,12.885209195522,7.65596606911256
24,0,1.51895863817421,74.4318379648049,17.2846348368962,1.20226443461741
24,0.01,1.53025110944955,74.8410526932792,17.5187967024711,1.19124200802737
24,0.02,1.53413095151203,74.9811360437333,17.6003755979286,9.6382902362397
24,0.04,1.43317680810121,71.2498893042467,15.644971175096,8.70963589956081
24,0.06,1.33966031654651,67.6307368254705,14.0786979779918,8.01678063387679
24,0.08,1.25239111941477,64.1092310934236,12.7705662998405,7.44731973905989
25,0,1.5607418713135,75.9348845614719,18.1764136890643,1.13762728582343
25,0.01,1.5705177134845,76.2821781801228,18.3957187077991,1.12719745617551
25,0.02,1.58007397989545,76.6200809862052,18.6143843050388,1.11686324778056
25,0.04,1.51782740829824,74.3907217840222,17.261440165708,9.20449571753171
25,0.06,1.43621933327041,71.364985733533,15.6994139619815,8.39459986519397
25,0.08,1.35998655944119,68.4308776718083,14.4029689136955,7.72680585095702
26,0,1.52975045922311,74.8229573855627,17.508312465792,1.16949939101987
26,0.01,1.54042195254467,75.2077181588711,17.733914985331,1.15877735615513
26,0.02,1.55085243144384,75.5818758486687,17.9588714201502,1.14815362149688
26,0.04,1.51470510199919,74.2771207777962,17.1976633260033,8.70963589956081
26,0.06,1.43265708905115,71.2302121368985,15.6356957676526,8.01678063387679
26,0.08,1.35567478300748,68.2617749222865,14.33349471261,7.37904230129101
27,0,1.49589662625806,73.5891792119666,16.8207795612998,1.20226443461741
27,0.01,1.50754739195841,74.0160519229751,17.052782117019,1.19124200802737
27,0.02,1.51893739965773,74.4310662266247,17.2841989301231,1.18032063565173
27,0.04,1.51038791620927,74.1197641995007,17.1100596624793,8.39459986519397
27,0.06,1.42775315959246,71.0443051897948,15.5485227276423,7.72680585095702
