caseID,sideForceScale,rollMomentScale,yawMomentScale,aileronEffectivenessScale,inertiaScale,IxzNormalized,riseTime_s,overshoot_pct,settlingTime_s,finalHeadingError_deg,peakBank_deg,peakRollRate_degps,peakYawRate_degps,peakSideslip_deg,peakAutomaticAileron_deg,peakAutomaticRudder_deg,peakAileronRate_degps
247,1,0.8,0.8,0.8,1,-0.1,16.4,0,32.64,0.000136109993851127,15.480312474927,5.69446556695838,2.62978710083137,0.45623735518543,1.20885095000791,0.175300522089064,2.17516728432987
248,1,0.8,0.8,0.8,1,0,16.4,0,32.64,0.00013603974146035,15.460629672352,5.6769776976487,2.62425803741735,0.462795484122402,1.18429925913167,0.182805615722215,2.1717864182048
249,1,0.8,0.8,0.8,1,0.1,16.36,0,32.64,0.00013596953262409,15.4412098031534,5.65911307403957,2.61902912064422,0.475399163887857,1.16025681263228,0.190484044759664,2.16545903027476
250,1,0.8,0.8,0.8,1.2,-0.1,16.38,0,32.64,0.000136767137897306,15.520561373371,5.76984780973628,2.65107635111164,0.453496243470683,1.24161576198285,0.178467034298175,2.20193973813818
251,1,0.8,0.8,0.8,1.2,0,16.34,0,32.64,0.000136682405280731,15.4996573073676,5.76407594366865,2.64032913875948,0.46228002236269,1.2129505880543,0.189457509215672,2.19912440816997
252,1,0.8,0.8,0.8,1.2,0.1,16.32,0,32.64,0.000136597742496415,15.4795876336385,5.75703902233548,2.62743235202704,0.491551840801648,1.18471439980006,0.20103353075906,2.19357656245377
253,1,0.8,0.8,1,0.8,-0.1,16.62,0,32.44,0.000118279219460086,15.151111341501,5.88028946130122,2.57139840470224,0.448054235138318,0.990513926245419,0.177652128197072,2.09803656710477
254,1,0.8,0.8,1,0.8,0,16.58,0,32.44,0.000118235495433436,15.1406697750408,5.85539779366882,2.5701465725242,0.458470737112365,0.97245974614161,0.181621330103837,2.09452581069197
255,1,0.8,0.8,1,0.8,0.1,16.58,0,32.44,0.000118191788473642,15.1300562779406,5.83045115041333,2.56919867958049,0.49123666460315,0.954952052431943,0.191478682020234,2.08796934327783
256,1,0.8,0.8,1,1,-0.1,16.56,0,32.44,0.00011876456059087,15.1864780829955,5.97259720050806,2.58620033383959,0.446882972507142,1.02072869419911,0.177595406352279,2.13156144085457
257,1,0.8,0.8,1,1,0,16.56,0,32.44,0.000118709655483265,15.1751641707899,5.9571722160159,2.58117019001329,0.465530644040402,0.998227014731245,0.186231226349673,2.12874925154153
258,1,0.8,0.8,1,1,0.1,16.54,0,32.44,0.000118654784922844,15.1635014142249,5.94031345396643,2.57659191764946,0.511889172357547,0.976184067302739,0.195466820785261,2.12315814133824
259,1,0.8,0.8,1,1.2,-0.1,16.54,0,32.46,0.000119250172215107,15.2193636896567,6.05345769845097,2.60995205512241,0.443021729746375,1.05184337714974,0.181319653547081,2.15755055658643
260,1,0.8,0.8,1,1.2,0,16.52,0,32.44,0.000119183986958629,15.209387277952,6.05112523142261,2.60005666038439,0.469429187480233,1.02610983076874,0.193939287914701,2.15405757684412
261,1,0.8,0.8,1,1.2,0.1,16.48,0,32.44,0.000119117854225832,15.1988801371811,6.04583298705658,2.58795936066191,0.529784099429159,1.00082695381807,0.207129838962628,2.1490249455392
262,1,0.8,0.8,1.2,0.8,-0.1,16.7,0,32.32,0.000107311307205829,14.9471934356447,6.0767307352548,2.54011797419132,0.450914371925108,0.857048122548229,0.19193745323338,2.0557089810842
263,1,0.8,0.8,1.2,0.8,0,16.7,0,32.32,0.000107274849588904,14.9408328909442,6.05204459101776,2.5395891504564,0.481578498042466,0.840130522605372,0.19707734425924,2.05152684052091
264,1,0.8,0.8,1.2,0.8,0.1,16.68,0,32.32,0.000107238405559309,14.9341589064914,6.0268591912809,2.53941912966374,0.516340621570148,0.823799834101021,0.208747262627534,2.04372738611887
265,1,0.8,0.8,1.2,1,-0.1,16.68,0,32.32,0.000107691287119457,14.9782616869626,6.17288764437665,2.55424451078093,0.445764116782967,0.885795453084145,0.19129063148784,2.09559836231458
266,1,0.8,0.8,1.2,1,0,16.66,0,32.32,0.000107645528810033,14.9721463460481,6.15860799378715,2.54985497337783,0.489306738279924,0.865069142106702,0.198051934484029,2.0922439506242
267,1,0.8,0.8,1.2,1,0.1,16.66,0,32.32,0.000107599796453935,14.9653031085634,6.14228771868598,2.54614202590494,0.538454145391182,0.844869519594436,0.212991339505952,2.08558159669937
268,1,0.8,0.8,1.2,1.2,-0.1,16.66,0,32.32,0.000108071350160063,15.0074449481972,6.25724472162401,2.57923708376639,0.441595439852005,0.915219941094548,0.189835413133038,2.12499425039705
269,1,0.8,0.8,1.2,1.2,0,16.64,0,32.32,0.000108016218724186,15.0039068467005,6.25737574199283,2.57011439147973,0.493707811090537,0.891975629860516,0.198109014843403,2.12220566831485
270,1,0.8,0.8,1.2,1.2,0.1,16.6,0,32.32,0.000107961130518409,14.9990204698949,6.25291831486734,2.55926823701263,0.557579975103626,0.869149758498892,0.215942304331598,2.11640110499659
271,1,0.8,1,0.8,0.8,-0.1,16.34,0,32.64,0.000137477771456173,15.5629353404691,5.48505988671516,2.64385874999235,0.446290492960098,1.20500235765844,0.180030511455783,2.14068686855767
272,1,0.8,1,0.8,0.8,0,16.34,0,32.64,0.000137386247999132,15.5465043142532,5.45748648464995,2.64302881567493,0.450795243758961,1.18940418587977,0.183224147477296,2.13793001929427
273,1,0.8,1,0.8,0.8,0.1,16.34,0,32.64,0.000137294785138018,15.5303386906532,5.43013323729833,2.64228085117469,0.455481137333727,1.17441979597164,0.18636656627374,2.13274073406548
274,1,0.8,1,0.8,1,-0.1,16.32,0,32.64,0.000137998811857868,15.6088817408102,5.56912753980291,2.6555196301473,0.448107871155544,1.23109977181987,0.184370171490232,2.17512587311723
275,1,0.8,1,0.8,1,0,16.32,0,32.64,0.000137884114555001,15.5883548266699,5.54524742758148,2.65382880837193,0.454358074447989,1.21011860849449,0.189723497050916,2.17182926453916
276,1,0.8,1,0.8,1,0.1,16.32,0,32.64,0.000137769511689163,15.5681709598455,5.52166212723886,2.65257964574851,0.460931910995968,1.18983447255959,0.195193400721319,2.16562093819363
277,1,0.8,1,0.8,1.2,-0.1,16.3,0,32.66,0.000138520274764447,15.6554355213572,5.64649985915657,2.66675967436576,0.449437349593282,1.25950633697457,0.188260227087031,2.20190413906116
278,1,0.8,1,0.8,1.2,0,16.3,0,32.64,0.000138382283129981,15.6317128593631,5.6316831617875,2.66238827584216,0.457776594718897,1.23395708191684,0.196492518647042,2.19915060110108
279,1,0.8,1,0.8,1.2,0.1,16.26,0,32.64,0.000138244432266866,15.608177946295,5.61619671459678,2.65928545700448,0.466737781597085,1.20910352168052,0.205182511899248,2.19369060000168
280,1,0.8,1,1,0.8,-0.1,16.54,0,32.46,0.000119795912149263,15.2658727894166,5.76324182034083,2.59745262701288,0.438399798550589,1.01118304463168,0.18156311048852,2.09799248739371
281,1,0.8,1,1,0.8,0,16.5,0,32.46,0.000119725386625173,15.2548086565031,5.7352362772986,2.59753815789625,0.443118831765753,0.996199120164352,0.185526625052168,2.09457171554946
282,1,0.8,1,1,0.8,0.1,16.5,0,32.46,0.000119654901761294,15.243762688732,5.70739171177694,2.59773861188176,0.448041716574668,0.981860762061872,0.189428946010006,2.08814161665559
283,1,0.8,1,1,1,-0.1,16.52,0,32.46,0.000120179402905454,15.3039375175268,5.85585483197966,2.60758085508059,0.439966793749239,1.0366616865484,0.186417414926602,2.13152492935459
284,1,0.8,1,1,1,0,16.48,0,32.46,0.00012009104650482,15.2904270739581,5.83350359014972,2.60688795649779,0.446520678742585,1.01687073921906,0.192973670489968,2.12877442792276
285,1,0.8,1,1,1,0.1,16.48,0,32.46,0.000120002761832055,15.2768258524683,5.81094325820259,2.6067452260383,0.453436927668871,0.997803558158658,0.199646552322806,2.12327058194414
286,1,0.8,1,1,1.2,-0.1,16.48,0,32.46,0.000120563060488099,15.3426685204859,5.94006933690501,2.61759592661789,0.440564248039107,1.06420802989681,0.190716454234148,2.15750634569397
287,1,0.8,1,1,1.2,0,16.46,0,32.46,0.000120456803671273,15.3277558122071,5.92890647596813,2.61362567645469,0.449219996245922,1.04072744835506,0.20068860940242,2.15409021796596
288,1,0.8,1,1,1.2,0.1,16.44,0,32.46,0.000120350644484754,15.3125285269182,5.91558419195446,2.61133682548202,0.458519494831021,1.01798107305867,0.211105160641502,2.14910402334104
289,1,0.8,1,1.2,0.8,-0.1,16.64,0,32.32,0.000108512480772913,15.0512562560538,5.96688400898489,2.56389582674312,0.432196136976504,0.873079322470645,0.182650341335744,2.05565645791439
290,1,0.8,1,1.2,0.8,0,16.62,0,32.32,0.000108454732535672,15.0438814194592,5.93877231431811,2.56464662602433,0.43705763671644,0.858745032740907,0.187134618024932,2.05158175619474
291,1,0.8,1,1.2,0.8,0.1,16.62,0,32.32,0.0001083970193227,15.0364372571817,5.91071669253159,2.56550326501674,0.442139457591451,0.845166020497653,0.191567893447556,2.04393314374653
292,1,0.8,1,1.2,1,-0.1,16.62,0,32.32,0.000108811565739967,15.0840037529079,6.06481912351172,2.5728087312407,0.433569516244365,0.89771381494033,0.187965904936011,2.09555477275982
293,1,0.8,1,1.2,1,0,16.6,0,32.32,0.00010873924324701,15.0752144558213,6.04383691211011,2.57292185910465,0.44031912266166,0.87914152088376,0.195335448681658,2.09227408726379
294,1,0.8,1,1.2,1,0.1,16.6,0,32.32,0.00010866697549776,15.0661214517816,6.02187375461062,2.5736430103448,0.447438272212683,0.86135596366346,0.202829805838579,2.08571600745938
295,1,0.8,1,1.2,1.2,-0.1,16.6,0,32.34,0.000109110704515646,15.1176235577643,6.15405604735328,2.58175033145408,0.43367824443053,0.924233335305444,0.192668090679741,2.12495884599981
296,1,0.8,1,1.2,1.2,0,16.58,0,32.32,0.000109023752806986,15.1085906035508,6.14503302134055,2.57833659188342,0.442531146431768,0.902737906644621,0.20380520120338,2.1222239517522
297,1,0.8,1,1.2,1.2,0.1,16.56,0,32.32,0.000108936876324807,15.0986908069716,6.13307426256304,2.57696070334786,0.451993044062468,0.881866717747344,0.215381977331904,2.11649569013759
298,1,0.8,1.2,0.8,0.8,-0.1,16.3,0,32.66,0.000138973471937397,15.6509119325645,5.39805592617484,2.66742618481062,0.438636065609116,1.23015479150111,0.186344452448418,2.14065196200082
299,1,0.8,1.2,0.8,0.8,0,16.28,0,32.66,0.000138855641603696,15.6355909453122,5.37044159374931,2.66679604903701,0.443067998907254,1.21745962068188,0.188547407236128,2.1379664587602
300,1,0.8,1.2,0.8,0.8,0.1,16.28,0,32.66,0.000138737889543446,15.6204462909286,5.34348799051694,2.66617991362357,0.447647011186624,1.20533583037462,0.190695875447719,2.13287729248344
301,1,0.8,1.2,0.8,1,-0.1,16.28,0,32.66,0.000139394207135214,15.6970706781929,5.47619668972155,2.67915446002007,0.441381250619478,1.25224799421526,0.190720392691657,2.17508515772423
302,1,0.8,1.2,0.8,1,0,16.26,0,32.66,0.000139246673728565,15.6775449947907,5.44926605831089,2.67832893184746,0.447402210302475,1.23457352346183,0.194528663951234,2.17187166674657
303,1,0.8,1.2,0.8,1,0.1,16.26,0,32.66,0.00013909926786852,15.6582629064004,5.42253487831332,2.67762653704222,0.453670506184301,1.21766699091378,0.198398157274593,2.16578068004012
304,1,0.8,1.2,0.8,1.2,-0.1,16.26,0,32.66,0.000139815226445619,15.7444376627662,5.55208962440552,2.69019956588135,0.444383733543371,1.27694321821391,0.195043731790877,2.20186900594511
305,1,0.8,1.2,0.8,1.2,0,16.24,0,32.66,0.000139637895789798,15.7207904621183,5.5312634786219,2.68895684688212,0.452364937441827,1.25453467273945,0.201216616873708,2.19917656895197
306,1,0.8,1.2,0.8,1.2,0.1,16.24,0,32.66,0.000139460752856675,15.6973645734174,5.51027623684118,2.68832110107354,0.46078470045405,1.23298344001307,0.207762827455058,2.19380336236366
307,1,0.8,1.2,1,0.8,-0.1,16.48,0,32.46,0.000120915675767998,15.3468374171147,5.67765408694711,2.61899365227439,0.431293135368965,1.03070030449577,0.18829531964887,2.09794916284897
308,1,0.8,1.2,1,0.8,0,16.48,0,32.46,0.000120825372098204,15.3360541623161,5.64874749621414,2.61924293918717,0.435885593612876,1.01833824755559,0.191196022788863,2.09461712384294
309,1,0.8,1.2,1,0.8,0.1,16.48,0,32.46,0.000120735127389533,15.3254642065788,5.62045295585984,2.61951687001474,0.440652677829532,1.00665218675857,0.194040762470213,2.08831151111008
310,1,0.8,1.2,1,1,-0.1,16.46,0,32.46,0.000121223863457106,15.3848823295187,5.76646372231887,2.62919104252601,0.43394494441605,1.05222976429956,0.193138615139875,2.13148888094354
311,1,0.8,1.2,1,1,0,16.46,0,32.46,0.000121110831658059,15.3712499916764,5.74025008556046,2.62950557219389,0.440220183299286,1.03513234414361,0.198086555959374,2.12879938781345
312,1,0.8,1.2,1,1,0.1,16.46,0,32.46,0.000120997889582459,15.3577625264588,5.71402573646947,2.62997292832779,0.446793018965077,1.01892172602341,0.203106224738829,2.12338177645981
313,1,0.8,1.2,1,1.2,-0.1,16.44,0,32.46,0.000121532170321598,15.4241770486482,5.85107592888677,2.63834145401929,0.43658351861506,1.07652802639533,0.197847367107473,2.1574627151886
314,1,0.8,1.2,1,1.2,0,16.44,0,32.46,0.00012139634412326,15.407948584984,5.83316463090844,2.63831796751347,0.444892499295092,1.05540414597767,0.205699038638873,2.15412257833206
315,1,0.8,1.2,1,1.2,0.1,16.4,0,32.46,0.000121260651622718,15.3916540769292,5.81428120202395,2.63904480474896,0.453697536445887,1.03515507591277,0.213933988979848,2.14918236921175
316,1,0.8,1.2,1.2,0.8,-0.1,16.6,0,32.34,0.000109398745986179,15.1251277797954,5.88470373882548,2.58373576923916,0.425426627017616,0.888627001251239,0.189468955564124,2.05560483756634
317,1,0.8,1.2,1.2,0.8,0,16.6,0,32.32,0.000109325306501501,15.11769677359,5.85525808934795,2.5845860547335,0.430121521889038,0.8766675435498,0.192903585692752,2.05163607726491
318,1,0.8,1.2,1.2,0.8,0.1,16.6,0,32.32,0.000109251915024115,15.1102678187488,5.82637734920192,2.5854679916429,0.435011232497924,0.865475835320838,0.196288890894313,2.04413605570105
319,1,0.8,1.2,1.2,1,-0.1,16.58,0,32.34,0.000109638105594148,15.1574261762625,5.98020525457362,2.59275829219094,0.427958183978183,0.909619542874535,0.194717767459973,2.09551173732893
320,1,0.8,1.2,1.2,1,0,16.58,0,32.32,0.000109546202563349,15.1480162581533,5.95497602641021,2.59386697011434,0.434394053986624,0.893286096409932,0.200511556965441,2.09230396456083
321,1,0.8,1.2,1.2,1,0.1,16.56,0,32.32,0.00010945437103142,15.1386282917278,5.92942194520482,2.59514282621059,0.441157254562968,0.877859037391264,0.206399290290837,2.08584892676347
322,1,0.8,1.2,1.2,1.2,-0.1,16.56,0,32.34,0.000109877502866244,15.1910375739997,6.07084776087437,2.60043588127329,0.430259348813865,0.933266519849114,0.199760659121522,2.12492380107563
323,1,0.8,1.2,1.2,1.2,0,16.54,0,32.34,0.000109767093205532,15.1799829298031,6.05563886814946,2.60134613244037,0.4387518861181,0.913626173224508,0.208857732872456,2.12224210468038
324,1,0.8,1.2,1.2,1.2,0.1,16.52,0,32.32,0.000109656784196653,15.1687140646919,6.03774803648607,2.60306500686206,0.447750996562743,0.89479261571452,0.218346134155081,2.11658939886965
325,1,1,0.8,0.8,0.8,-0.1,16.4,0,32.82,0.000151756019093672,15.5576199925187,5.41256459133755,2.60050037098763,0.534517897436215,1.32050826324894,0.178463104962403,2.15628084194691
326,1,1,0.8,0.8,0.8,0,16.38,0,32.82,0.00015174010390974,15.5376686880991,5.38576371112961,2.5976007528728,0.552524918692887,1.30094236191804,0.180494453817361,2.15201681678799
327,1,1,0.8,0.8,0.8,0.1,16.38,0,32.82,0.000151724183795948,15.517976175773,5.35861825696406,2.59502855601348,0.573015526418505,1.28179908462774,0.185617178340745,2.14506680422411
328,1,1,0.8,0.8,1,-0.1,16.38,0,32.82,0.000152623335923423,15.5979179065134,5.49127836516399,2.61340717463553,0.534047659601679,1.35182877961412,0.178698855131974,2.18731515379891
