caseID,sideForceScale,rollMomentScale,yawMomentScale,rudderEffectivenessScale,inertiaScale,IxzNormalized,initialYawRateIntegralRatio,initialBetaIntegralRatio,peakInitialActuatorPosition_deg,peakInitialActuatorRate_degps
327,1,1,0.8,0.8,0.8,0.1,0.678824635358079,0.573387475007078,0.985239746961996,14.5416671586312
328,1,1,0.8,0.8,1,-0.1,0.763808142869314,0.656178909576863,0.991922173394322,14.51871761576
329,1,1,0.8,0.8,1,0,0.727218211642308,0.60159556432178,1.00476278025597,14.5666775925134
330,1,1,0.8,0.8,1,0.1,0.6805221856388,0.546969578858225,1.01592128410263,14.6092211953843
331,1,1,0.8,0.8,1.2,-0.1,0.777098645622597,0.652776765411015,1.01494284259159,14.5769891473596
332,1,1,0.8,0.8,1.2,0,0.735620420006976,0.59423725107388,1.0264884325541,14.6178150634009
333,1,1,0.8,0.8,1.2,0.1,0.681678198618199,0.532003601494338,1.03759271038417,14.6540205548594
334,1,1,0.8,1,0.8,-0.1,0.717124453370944,0.64731343847448,0.949272730388617,14.4219393484234
335,1,1,0.8,1,0.8,0,0.685349452639092,0.601121689290596,0.962274033816605,14.4803771454477
336,1,1,0.8,1,0.8,0.1,0.646594769925951,0.552410447438357,0.973483932776441,14.5320988990295
337,1,1,0.8,1,1,-0.1,0.732972278773784,0.634805318185392,0.980584566371084,14.5105997123358
338,1,1,0.8,1,1,0,0.695973891346507,0.578782658087814,0.993668927141762,14.5588559696783
339,1,1,0.8,1,1,0.1,0.649406251179776,0.52049332394158,1.00492279840895,14.6015506744629
340,1,1,0.8,1,1.2,-0.1,0.747295059292712,0.625761939605064,1.0053457366413,14.5702067373767
341,1,1,0.8,1,1.2,0,0.705487497548676,0.564112405629262,1.01712325665333,14.6112848824816
342,1,1,0.8,1,1.2,0.1,0.651870051404168,0.500493738033549,1.02724531835402,14.6476196931668
343,1,1,0.8,1.2,0.8,-0.1,0.68984713029451,0.630767844531327,0.938121951599716,14.4118323839277
344,1,1,0.8,1.2,0.8,0,0.657945081426225,0.584684381304902,0.951343933913239,14.4706287325385
345,1,1,0.8,1.2,0.8,0.1,0.619395336100968,0.536319548497418,0.96263547617162,14.5225318453619
346,1,1,0.8,1.2,1,-0.1,0.706016508515753,0.61727012604425,0.970721185042557,14.502482681197
347,1,1,0.8,1.2,1,0,0.668884860638901,0.561586748577085,0.982624775355451,14.5510351531401
348,1,1,0.8,1.2,1,0.1,0.622649007505215,0.503861582440916,0.993972509272737,14.5938809265671
349,1,1,0.8,1.2,1.2,-0.1,0.720927300537777,0.607644671745533,0.995785831010135,14.5634249345633
350,1,1,0.8,1.2,1.2,0,0.679007727819173,0.543630988382774,1.00779294122746,14.6047552623656
351,1,1,0.8,1.2,1.2,0.1,0.625867747362458,0.479134569088601,1.01801184655482,14.6412193688611
352,1,1,1,0.8,0.8,-0.1,0.765531107919367,0.700471139925105,0.938718246699082,14.3466389455686
353,1,1,1,0.8,0.8,0,0.73730567707438,0.660100881374565,0.951398532460159,14.4051966540979
354,1,1,1,0.8,0.8,0.1,0.704895711927676,0.620150088304842,0.962178515096743,14.4557550985982
355,1,1,1,0.8,1,-0.1,0.776972927774541,0.685984607162353,0.971307186148135,14.4500401437712
356,1,1,1,0.8,1,0,0.744538201914664,0.638226492279838,0.984076856618553,14.4984409253255
357,1,1,1,0.8,1,0.1,0.704705685276169,0.591187329512591,0.994912539192477,14.5402138024872
358,1,1,1,0.8,1.2,-0.1,0.787395010542911,0.677209486778938,0.997423585579745,14.519563539683
